★1+1★
웅진)초록매실병180ml - 1,200원
동아)컨피던스병230ml - 1,200원
광동)비타500캔240ml - 1,200원
동원)드링킹요구베리310ml - 1,900원
동)드링킹요구플레인310ml - 1,900원
동원)드링킹요구딸기310ml - 1,900원
동원)덴마크모닝씨리얼우유 - 1,500원
동원)드링킹요구사과310ml - 1,900원
푸르밀)검은콩우유300ml - 1,500원
 푸르밀)가나쵸코우유300ml  - 1,500원
동원)덴마크민트초코310ml - 1,500원
매)썬업과일야채레드 - 1,500원
서울)스페셜티마일드250ml - 1,900원
광동)옥수수수염P500ml - 1,500원
롯데)펩시콜라캔250ml - 1,200원
빙그레)오프룻딸기컵 - 1,900원
해태)바밤바골드 - 1,000원
해태)탱크보이 - 1,200원
해태)폴라포포도 - 1,200원
돼지바 - 1,000원
화이트)시크릿홀울날중4입 - 1,600원
대상)고구마츄 - 3,500원
롯데)칸타타아메리카노275 - 2,200원
롯데)핫식스캔250ml - 1,200원
정관장)홍삼원골드파우치 - 1,500원
롯데푸드)빵빠레초코 - 1,800원
동학)빅구슬복숭아키위 - 1,500원
한독)레디큐캔120ml - 5,000원
롯데)데일리씨자몽워터P - 1,700원
롯데)데일리씨레몬워터P - 1,700원
롯데)가나초코바아몬드 - 1,000원
롯데)허쉬아몬드초콜릿 - 1,500원
농심)사리곰탕큰사발 - 1,150원
아임리얼)딸기190ml - 2,900원
아임리얼)토마토190ml - 2,900원
CJ)비비고썰은배추김치60g - 1,000원
하리보골드바렌100g - 1,500원
CJ)스팸김치볶음밥  - 3,500원
풀무원)모짜렐라할라피뇨 - 2,800원
풀무원)모짜렐라칠리치킨 - 2,800원
CJ)맥스봉불닭구이후랑크 - 2,000원
CJ)홍삼한뿌리병 - 5,000원
제니코)스모크스트링치즈 - 1,300원
하리보해피콜라100g - 1,500원
동아)오로나민C병120ml - 1,000원
진주햄)천하장사28g - 900원
롯데)트로피망고캔355ml - 1,200원
롯데)설레임밀크쉐이크 - 1,800원
롯데)더블비얀코210ml - 1,800원
빙그레)더위사냥액티브 - 1,200원
남양)초코에몽250ml - 1,300원
CJ)맥스봉숯불갈비후랑크 - 2,000원
